work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_currency
2021,Mid-level,Full-time,Data Architect,180000,USD,180000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Head of Data Science,110000,USD,110000,US,On-site,US,Small,USD
2021,Mid-level,Full-time,Research Scientist,80000,CAD,63810,CA,Remote,CA,Medium,CAD
2021,Mid-level,Full-time,Data Scientist,39600,EUR,46809,Others,Remote,ES,Medium,
2021,Entry-level,Full-time,Data Scientist,4000,USD,4000,Others,On-site,VN,Medium,
2021,Entry-level,Full-time,Data Engineer,1600000,INR,21637,IN,Hybrid,IN,Medium,INR
2021,Senior-level,Full-time,Data Scientist,130000,CAD,103691,CA,Remote,CA,Large,CAD
2021,Mid-level,Full-time,Data Analyst,80000,USD,80000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Engineer,110000,USD,110000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Scientist,165000,USD,165000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,AI Scientist,1335000,INR,18053,IN,Remote,AS,Small,INR
2021,Mid-level,Full-time,Data Engineer,52500,GBP,72212,GB,Hybrid,GB,Large,GBP
2021,Entry-level,Full-time,Data Scientist,31000,EUR,36643,Others,Hybrid,FR,Large,
2021,Mid-level,Full-time,Data Engineer,108000,TRY,12103,Others,On-site,TR,Medium,
2021,Senior-level,Full-time,Data Engineer,70000,GBP,96282,GB,Hybrid,GB,Large,GBP
2021,Senior-level,Full-time,Principal Data Analyst,170000,USD,170000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Data Scientist,115000,USD,115000,US,Hybrid,US,Large,USD
2021,Entry-level,Full-time,Data Scientist,90000,USD,90000,US,Remote,US,Small,USD
2021,Executive-level,Full-time,Principal Data Engineer,600000,USD,600000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,Data Scientist,2100000,INR,28399,IN,Remote,IN,Medium,INR
2021,Mid-level,Full-time,Data Analyst,93000,USD,93000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Big Data Architect,125000,CAD,99703,CA,Hybrid,CA,Medium,CAD
2021,Senior-level,Full-time,Principal Data Scientist,147000,EUR,173762,DE,Remote,DE,Medium,EUR
2021,Senior-level,Full-time,Machine Learning Engineer,185000,USD,185000,US,Hybrid,US,Large,USD
2021,Executive-level,Full-time,Director of Data Science,120000,EUR,141846,DE,On-site,DE,Large,EUR
2021,Mid-level,Full-time,Data Scientist,130000,USD,130000,US,Hybrid,US,Large,USD
2021,Senior-level,Full-time,Data Analyst,54000,EUR,63831,DE,Hybrid,DE,Large,EUR
2021,Mid-level,Full-time,Data Scientist,1250000,INR,16904,IN,Remote,IN,Small,INR
2021,Senior-level,Full-time,Machine Learning Engineer,4900000,INR,66265,IN,On-site,IN,Large,INR
2021,Mid-level,Full-time,Data Scientist,21600,EUR,25532,Others,Remote,DE,Small,
2021,Senior-level,Full-time,Lead Data Engineer,160000,USD,160000,Others,Hybrid,US,Small,
2021,Mid-level,Full-time,Data Engineer,93150,USD,93150,US,On-site,US,Medium,USD
2021,Mid-level,Full-time,Data Engineer,111775,USD,111775,US,On-site,US,Medium,USD
2021,Mid-level,Full-time,Data Engineer,250000,TRY,28016,Others,Remote,TR,Medium,
2021,Entry-level,Full-time,Data Engineer,55000,EUR,65013,DE,Hybrid,DE,Medium,EUR
2021,Entry-level,Full-time,Data Engineer,72500,USD,72500,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Computer Vision Engineer,102000,BRL,18907,Others,On-site,BR,Medium,
2021,Entry-level,Full-time,Data Science Consultant,65000,EUR,76833,DE,On-site,DE,Large,EUR
2021,Entry-level,Full-time,Machine Learning Engineer,85000,USD,85000,Others,Remote,DE,Small,
2021,Senior-level,Full-time,Data Scientist,65720,EUR,77684,Others,Hybrid,FR,Medium,
2021,Entry-level,Full-time,Data Scientist,100000,USD,100000,US,Remote,US,Medium,USD
2021,Entry-level,Full-time,Data Scientist,58000,USD,58000,US,Hybrid,US,Large,USD
2021,Senior-level,Full-time,AI Scientist,55000,USD,55000,Others,Remote,ES,Large,
2021,Senior-level,Full-time,Data Scientist,180000,TRY,20171,Others,Hybrid,TR,Large,
2021,Entry-level,Full-time,Business Data Analyst,50000,EUR,59102,Others,Remote,LU,Large,
2021,Mid-level,Full-time,Data Engineer,112000,USD,112000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,Research Scientist,100000,USD,100000,Others,On-site,CN,Large,
2021,Mid-level,Part-time,Data Engineer,59000,EUR,69741,Others,Remote,NL,Large,
2021,Senior-level,Contract,Staff Data Scientist,105000,USD,105000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Research Scientist,69999,USD,69999,Others,Hybrid,CZ,Large,
2021,Senior-level,Full-time,Data Science Manager,7000000,INR,94665,IN,Hybrid,IN,Large,INR
2021,Senior-level,Full-time,Head of Data,87000,EUR,102839,Others,Remote,SI,Large,
2021,Mid-level,Full-time,Data Scientist,109000,USD,109000,US,Hybrid,US,Large,USD
2021,Mid-level,Full-time,Machine Learning Engineer,43200,EUR,51064,Others,Hybrid,IT,Large,
